country,chapter_number,chapter_title,section_number,section_title,section_file,indicator_codes_to_check,source_ids_to_check,chapter_chart_count,update_instruction
MMR,15,"15. Foreign Relations, Security, and Geopolitics",3,"Defense, Police, and Internal Security Governance",report/sections/15-03-defense-police-and-internal-security-governance.html,VA.EST; PV.EST; GE.EST; RQ.EST; RL.EST; CC.EST; MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,15,"15. Foreign Relations, Security, and Geopolitics",4,"Strategic Geography, Resources, Climate, and Connectivity",report/sections/15-04-strategic-geography-resources-climate-and-connectivity.html,MS.MIL.XPND.GD.ZS; MS.MIL.TOTL.TF.ZS,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,16,16. Major Policies and National Development Strategy,1,Evolution of National Development Strategy,report/sections/16-01-evolution-of-national-development-strategy.html,NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,IMF-MMR; ILO-MMR; WHO-MMR,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,16,16. Major Policies and National Development Strategy,2,Current Development Plan and Policy Architecture,report/sections/16-02-current-development-plan-and-policy-architecture.html,NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,IMF-MMR; ILO-MMR; WHO-MMR,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,16,16. Major Policies and National Development Strategy,3,Macroeconomic Reform and Fiscal Discipline,report/sections/16-03-macroeconomic-reform-and-fiscal-discipline.html,rev; GC.TAX.TOTL.GD.ZS; GC.XPN.TOTL.GD.ZS; GGXWDG_NGDP; ie; NY.GDP.MKTP.KD.ZG; NY.GDP.PCAP.CD; NY.GDP.DEFL.KD.ZG,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,16,16. Major Policies and National Development Strategy,4,"Industrial, Digital, Energy, and Climate Strategy",report/sections/16-04-industrial-digital-energy-and-climate-strategy.html,EG.ELC.ACCS.ZS; IT.NET.USER.ZS; IT.CEL.SETS.P2; NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,IMF-MMR; ILO-MMR; WHO-MMR,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,16,16. Major Policies and National Development Strategy,5,Public Administration Reform and Human-Capital Strategy,report/sections/16-05-public-administration-reform-and-human-capital-strategy.html,NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,17,17. Integrated Assessment,1,National Operating Model,report/sections/17-01-national-operating-model.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,17,17. Integrated Assessment,2,"Institutional Strengths, Risks, and Bottlenecks",report/sections/17-02-institutional-strengths-risks-and-bottlenecks.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,17,17. Integrated Assessment,3,Implications for Korea and International Cooperation,report/sections/17-03-implications-for-korea-and-international-cooperation.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,17,17. Integrated Assessment,4,Contribution to Comparative Administration Theory,report/sections/17-04-contribution-to-comparative-administration-theory.html,,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,17,17. Integrated Assessment,5,Strategic Outlook,report/sections/17-05-strategic-outlook.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,18,"18. Appendix, Sources, and Method",1,Timeline,report/sections/18-01-timeline.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,18,"18. Appendix, Sources, and Method",2,Government Organization Map,report/sections/18-02-government-organization-map.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,18,"18. Appendix, Sources, and Method",3,Major Laws and Policy Documents,report/sections/18-03-major-laws-and-policy-documents.html,NY.GDP.MKTP.KD.ZG; rev; GGXWDG_NGDP; GE.EST; RQ.EST,IMF-MMR; ILO-MMR; WHO-MMR; MMR-LEGAL-CONST-2008,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,18,"18. Appendix, Sources, and Method",4,Indicator Codebook,report/sections/18-04-indicator-codebook.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,18,"18. Appendix, Sources, and Method",5,Update Workflow and Evidence Archive,report/sections/18-05-update-workflow-and-evidence-archive.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,19,19. References,1,References,report/sections/19-01-references.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
MMR,19,19. References,2,Citation and Source Integrity Notes,report/sections/19-02-citation-and-source-integrity-notes.html,,WB-WDI-WGI-MMR; IMF-MMR; ILO-MMR; WHO-MMR; GEOBOUNDARIES-MMR-ADM1,0,Collect national official data first; then use international indicators for comparison; archive consulted documents under sources/documents; add Chart.js only when it tests a section claim.
